id,event_type,event_cause,latitude,longitude,endlatitude,endlongitude,requires_road_closure,priority,corridor,corridor_weight,veh_type,police_station,zone,address,start_ist,hour,dow,is_weekend,month,dist_to_cbd_km,has_endpoint,duration_min,status,impact_score,severity,duration_band,expected_minutes,p_road_closure,p_high_priority
FKID000000,unplanned,vehicle_breakdown,13.0400041,77.5180991,0.0,0.0,0,High,Tumkur Road,0.0560381744769362,lcv,Peenya,Unknown,"Mumbai Bengaluru Highway, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",2024-03-07 22:31:48.111000+05:30,22.0,3.0,0,3.0,11.77,0,,closed,48.7,Moderate,1-6h,119,0.0,1.0
FKID000001,unplanned,vehicle_breakdown,12.9218755,77.6451585,0.0,0.0,0,High,ORR East 1,0.0298543986296341,heavy_vehicle,HSR Layout,Unknown,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",2024-01-30 09:37:24.173000+05:30,9.0,1.0,0,1.0,7.45,0,10.37758925,resolved,40.1,Moderate,<1h,42,0.0,1.0
FKID000002,unplanned,others,12.955622,77.5857083,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,unknown,Wilson Garden,Central Zone 2,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",2023-11-11 11:48:03.343000+05:30,11.0,5.0,1,11.0,3.04,0,,closed,40.9,Moderate,<1h,192,0.001,0.0
FKID000003,unplanned,tree_fall,13.0061469,77.5794348,13.0062394,77.5795156,1,Low,Non-corridor,0.3846812675884008,unknown,Sadashivanagar,Unknown,"Sankey Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",2024-03-07 23:26:55.061000+05:30,23.0,3.0,0,3.0,4.32,1,9465.174807333333,closed,84.6,Critical,>24h,2021,1.0,0.0
FKID000004,unplanned,vehicle_breakdown,12.95398,77.5852333,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,private_bus,Wilson Garden,Unknown,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",2024-01-30 10:26:32.348000+05:30,10.0,1.0,0,1.0,3.21,0,38.74983805,closed,33.7,Moderate,<1h,56,0.0,0.001
FKID000005,unplanned,accident,13.0664854,77.5998755,,,0,Low,Non-corridor,0.3846812675884008,unknown,Hebbala,North Zone 1,"Jakkur Layout, Amrutahalli, Amruthahalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560092, India",2023-11-28 08:37:27.292421+05:30,8.0,1.0,0,11.0,10.09,0,,closed,34.7,Moderate,<1h,67,0.0,0.0
FKID000006,unplanned,vehicle_breakdown,12.9328703,77.4879814,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,bmtc_bus,Kengeri,Unknown,"Kengeri Main Road, Ambedkar Circle, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)",2024-01-30 12:56:26.739000+05:30,12.0,1.0,0,1.0,13.5,0,,closed,37.1,Moderate,<1h,100,0.0,0.002
FKID000007,unplanned,others,12.973175,77.6003961,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,unknown,Cubbon Park,Unknown,"State Bank of India Road, Saint Marks Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2024-01-30 11:35:59.339000+05:30,11.0,1.0,0,1.0,0.54,0,,closed,48.3,Moderate,1-6h,681,0.0,0.001
FKID000009,unplanned,vehicle_breakdown,13.0373543,77.6540442,0.0,0.0,0,Low,Non-corridor,0.3846812675884008,lcv,Hennuru,Unknown,"Hennuru Road, Narayana Swamy Layout, Horamavu Agara, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",2024-01-30 10:55:50.078000+05:30,10.0,1.0,0,1.0,8.69,0,,closed,34.1,Moderate,<1h,60,0.0,0.001
FKID000010,unplanned,water_logging,13.0008457,77.6813712,0.0,0.0,0,High,ORR East 2,0.0228802153432032,unknown,K.R. Pura,Unknown,"Whitefield Road, ITI Data Center, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",2024-03-07 23:31:40.182000+05:30,23.0,3.0,0,3.0,8.78,0,9348.299649083334,closed,61.5,High,>24h,1872,0.0,1.0
